dnaA,939978,BSU00010
dnaN,939970,BSU00020
yaaA,939444,BSU00030
recF,939454,BSU00040
yaaB,939466,BSU00050
gyrB,939456,BSU00060
gyrA,940002,BSU00070
none,NaN,NEWGENE1
yaaC,939969,BSU00080
guaB,938032,BSU00090
dacA,940000,BSU00100
yaaD,939988,BSU00110
yaaE,939971,BSU00120
serS,939994,BSU00130
dck,936793,BSU00140
dgk,937037,BSU00150
yaaH,937029,BSU00160
yaaI,937036,BSU00170
tadA,937989,BSU00180
dnaX,936899,BSU00190
yaaK,937027,BSU00200
recR,937197,BSU00210
yaaL,937026,BSU00220
bofA,937025,BSU00230
none,NaN,NEWGENE2
csfB,937016,BSU00240
xpaC,937019,BSU00250
yaaN,936551,BSU00260
yaaO,937013,BSU00270
tmk,937018,BSU00280
yaaQ,938610,BSU00290
yaaR,936756,BSU00300
holB,935949,BSU00310
yaaT,937012,BSU00320
yabA,937008,BSU00330
yabB,937011,BSU00340
yazA,937002,BSU00350
yabC,937010,BSU00360
abrB,937009,BSU00370
metS,936877,BSU00380
yabD,936949,BSU00390
yabE,936891,BSU00400
rnmV,937001,BSU00410
ksgA,936358,BSU00420
yabG,937005,BSU00430
veg,936744,BSU00440
sspF,936996,BSU00450
ipk,936970,BSU00460
purR,937000,BSU00470
yabJ,936988,BSU00480
spoVG,936959,BSU00490
glmU,936139,BSU00500
prs,936985,BSU00510
ctc,936984,BSU00520
pth,936740,BSU00530
yabK,936978,BSU00540
mfd,936653,BSU00550
spoVT,936975,BSU00560
yabM,936539,BSU00570
yabN,936973,BSU00580
yabO,936800,BSU00590
yabP,936966,BSU00600
yabQ,936971,BSU00610
divIC,936786,BSU00620
yabR,936574,BSU00630
spoIIE,938480,BSU00640
yabS,936965,BSU00650
yabT,936964,BSU00660
tilS,936922,BSU00670
hprT,936945,BSU00680
ftsH,938094,BSU00690
coaX,936960,BSU00700
hslO,936762,BSU00710
yacD,936955,BSU00720
cysK,936636,BSU00730
pabB,936926,BSU00740
pabA,936441,BSU00750
pabC,936944,BSU00760
sul,936256,BSU00770
folB,937976,BSU00780
folK,936940,BSU00790
yazB,936295,BSU00800
dusB,936924,BSU00810
lysS,936911,BSU00820
none,NaN,NEWGENE3
none,NaN,NEWGENE4
none,NaN,NEWGENE5
ctsR,936883,BSU00830
mcsA,936845,BSU00840
mcsB,936939,BSU00850
clpC,938481,BSU00860
radA,936872,BSU00870
yacK,936868,BSU00880
yacL,936863,BSU00890
ispD,936855,BSU00900
ispF,936634,BSU00910
gltX,936862,BSU00920
cysE,936831,BSU00930
cysS,936859,BSU00940
mrnC,936369,BSU00950
rlmB,936861,BSU00960
yacP,936993,BSU00970
sigH,936150,BSU00980
rpmG,936842,BSU00990
secE,936856,BSU01000
nusG,936851,BSU01010
rplK,936838,BSU01020
rplA,936843,BSU01030
rplJ,936153,BSU01040
rplL,935952,BSU01050
ybxB,938465,BSU01060
rpoB,936335,BSU01070
rpoC,935977,BSU01080
ybxF,936829,BSU01090
rpsL,936616,BSU01100
rpsG,935997,BSU01110
fusA,936826,BSU01120
tufA,935965,BSU01130
ybaC,936866,BSU01140
rpsJ,936825,BSU01150
rplC,936239,BSU01160
rplD,936690,BSU01170
rplW,936820,BSU01180
rplB,936817,BSU01190
rpsS,936818,BSU01200
rplV,938123,BSU01210
rpsC,936808,BSU01220
rplP,936807,BSU01230
rpmC,936801,BSU01240
rpsQ,936805,BSU01250
rplN,935939,BSU01260
rplX,936799,BSU01270
rplE,936981,BSU01280
rpsN,935946,BSU01290
rpsH,936328,BSU01300
rplF,938229,BSU01310
rplR,936785,BSU01320
rpsE,938012,BSU01330
rpmD,936920,BSU01340
rplO,935940,BSU01350
secY,936779,BSU01360
adk,938508,BSU01370
mapA,938929,BSU01380
ybzG,8303095,BSU01389
infA,938924,BSU01390
rpmJ,938927,BSU01400
rpsM,938928,BSU01410
rpsK,938926,BSU01420
rpoA,938921,BSU01430
rplQ,938918,BSU01440
cbiO,938925,BSU01450
cbiO,938922,BSU01460
ybaF,938923,BSU01470
truA,938920,BSU01480
rplM,938915,BSU01490
rpsI,938912,BSU01500
ybaJ,938919,BSU01510
ybaK,938916,BSU01520
cwlD,938917,BSU01530
salA,938914,BSU01540
gerD,938910,BSU01550
kbaA,938913,BSU01560
ybaN,938911,BSU01570
none,NaN,NEWGENE6
none,NaN,NEWGENE7
none,NaN,NEWGENE8
none,NaN,NEWGENE9
none,NaN,NEWGENE10
none,NaN,NEWGENE11
none,NaN,NEWGENE12
ybaR,938890,BSU01580
ybaS,938892,BSU01590
ybbA,938887,BSU01600
feuC,938893,BSU01610
feuB,938884,BSU01620
feuA,938891,BSU01630
ybbB,938888,BSU01640
ybbC,938889,BSU01650
ybbD,938881,BSU01660
ybbE,938886,BSU01670
ybbF,938879,BSU01680
ybbH,938885,BSU01690
murQ,938882,BSU01700
ybbJ,938883,BSU01710
ybbK,938877,BSU01720
sigW,938868,BSU01730
rsiW,938876,BSU01740
ybbP,938735,BSU01750
ybbR,938867,BSU01760
glmM,938632,BSU01770
glmS,938736,BSU01780
alkA,938586,BSU01800
adaA,938648,BSU01810
adaB,938673,BSU01820
ndhF,938593,BSU01830
ybcC,938603,BSU01845
ybcF,938524,BSU01860
ybcH,938573,BSU01870
ybcI,938568,BSU01880
ybzH,8302965,BSU01889
ybcL,938536,BSU01890
ybcM,938504,BSU01900
skfA,938506,BSU01910
skfB,938501,BSU01920
skfC,8302931,BSU01935
skfE,938498,BSU01950
skfF,938494,BSU01960
skfG,938502,BSU01970
skfH,938499,BSU01980
ybdG,938500,BSU01990
ybdJ,938485,BSU02000
ybdK,938496,BSU02010
ybzI,8303143,BSU02019
ybdM,938464,BSU02030
ybdN,938489,BSU02040
ybdO,938493,BSU02050
ybxG,938470,BSU02060
csgA,938448,BSU02070
ybxH,938445,BSU02080
ybxI,938466,BSU02090
cypC,938449,BSU02100
ybyB,938450,BSU02110
ybeC,938442,BSU02120
glpQ,938446,BSU02130
glpT,938447,BSU02140
ybeF,938444,BSU02150
ybfA,938439,BSU02160
ybfB,938436,BSU02170
ybfE,938443,BSU02180
ybfF,938441,BSU02190
ybfG,938433,BSU02200
ybfH,938440,BSU02210
ybfI,938437,BSU02220
purT,938438,BSU02230
mpr,938430,BSU02240
ybfJ,938435,BSU02250
ybfK,938434,BSU02260
pssA,938427,BSU02270
ybfM,938432,BSU02280
psd,938431,BSU02290
ybfN,938429,BSU02300
ybfO,938424,BSU02310
ybfP,938428,BSU02320
ybfQ,938426,BSU02330
gltP,938421,BSU02340
nagP,938418,BSU02350
nagBB,938425,BSU02360
ybgA,938422,BSU02370
ybgB,938423,BSU02380
ybgE,938420,BSU02390
ybgF,938415,BSU02400
mmuM,938412,BSU02410
glnT,938419,BSU02420
ybgJ,938416,BSU02430
glnJ,938417,BSU02440
glnL,938414,BSU02450
ycbC,938409,BSU02460
ycbD,938406,BSU02470
gudP,938413,BSU02480
gudD,938410,BSU02490
ycbG,938411,BSU02500
garD,938407,BSU02510
ycbJ,938408,BSU02520
rtpA,938403,BSU02530
ycbK,938405,BSU02540
ycbL,938400,BSU02550
ycbM,938397,BSU02560
ycbN,938404,BSU02570
ycbO,938401,BSU02580
ycbP,938402,BSU02590
cwlJ,938399,BSU02600
ycbR,938394,BSU02610
yczK,8302909,BSU02619
phoD,938391,BSU02620
tatAD,938398,BSU02630
tatCD,938395,BSU02640
pcp,938396,BSU02650
ycbU,938393,BSU02660
lmrB,938388,BSU02670
lmrA,938385,BSU02680
ansZ,938392,BSU02690
estA,938389,BSU02700
yczC,938390,BSU02710
yccF,938387,BSU02720
natK,938382,BSU02730
natR,938379,BSU02740
natA,938386,BSU02750
natB,938383,BSU02760
yccK,938384,BSU02770
ycdA,938380,BSU02780
ycdB,938381,BSU02790
ycdC,938376,BSU02800
cwlK,938378,BSU02810
rapJ,938373,BSU02820
ycdF,938377,BSU02830
ycdG,938375,BSU02840
adcA,938370,BSU02850
adcC,938374,BSU02860
adcB,938367,BSU02870
yceB,938371,BSU02880
yceC,938372,BSU02890
yceD,938364,BSU02900
yceE,938368,BSU02910
yceF,938369,BSU02920
yceG,938361,BSU02930
yceH,938366,BSU02940
yceI,938365,BSU02950
yceJ,938363,BSU02960
yceK,938357,BSU02970
opuAA,938362,BSU02980
opuAB,938360,BSU02990
opuAC,938354,BSU03000
amhX,938351,BSU03010
ycgA,938359,BSU03020
ycgB,938355,BSU03030
amyE,938356,BSU03040
ldh,938348,BSU03050
lctP,938353,BSU03060
mdr,938345,BSU03070
ycgE,938352,BSU03080
ycgF,938349,BSU03090
ycgG,938350,BSU03100
ycgH,938347,BSU03110
ycgI,938342,BSU03120
nadE,938339,BSU03130
tmrB,938346,BSU03140
aroK,938343,BSU03150
ycgJ,938344,BSU03160
ycgK,938340,BSU03170
cah,938341,BSU03180
ycgL,938336,BSU03190
ycgM,938338,BSU03200
ycgN,938333,BSU03210
ycgO,938330,BSU03220
ycgP,938337,BSU03230
ycgQ,938334,BSU03240
ycgR,938335,BSU03250
ycgS,938332,BSU03260
ycgT,938327,BSU03270
nasF,938324,BSU03280
nasE,938331,BSU03290
nasD,938329,BSU03300
nasC,938321,BSU03310
nasB,938328,BSU03320
nasA,938326,BSU03330
yciA,938325,BSU03340
yciB,938318,BSU03350
yczL,8303053,BSU03359
yciC,938322,BSU03360
yckA,938323,BSU03370
yckB,938320,BSU03380
yckC,938315,BSU03390
yckD,938319,BSU03400
bglC,938317,BSU03410
nin,938312,BSU03420
nucA,938309,BSU03430
tlpC,938316,BSU03440
hxlB,938313,BSU03450
hxlA,938314,BSU03460
hxlR,938311,BSU03470
srfAA,938306,BSU03480
srfAB,938303,BSU03490
comS,938310,BSU03500
srfAC,938308,BSU03510
srfAD,938300,BSU03520
ycxA,938307,BSU03530
ycxB,938305,BSU03540
ycxC,938297,BSU03550
ycxD,938304,BSU03560
yczE,938302,BSU03580
tcyC,938294,BSU03590
tcyB,938301,BSU03600
tcyA,938298,BSU03610
yclA,938299,BSU03620
yclB,938296,BSU03630
ubiD,938291,BSU03640
bsdD,8302940,BSU03651
yclD,938293,BSU03652
yclE,938288,BSU03660
dtpT,938295,BSU03670
yclG,938292,BSU03680
yczF,938290,BSU03690
gerKA,938285,BSU03700
gerKC,938287,BSU03710
gerKB,938282,BSU03720
yclH,938289,BSU03730
yclI,938279,BSU03740
yclJ,938286,BSU03750
yclK,938283,BSU03760
rapC,938284,BSU03770
phrC,938281,BSU03780
yczN,8302990,BSU03789
yclM,938276,BSU03790
yclN,938273,BSU03800
yclO,938280,BSU03810
yclP,938278,BSU03820
yclQ,938277,BSU03830
ycnB,938275,BSU03840
ycnC,938270,BSU03850
ycnD,938267,BSU03860
ycnE,938274,BSU03870
yczG,938272,BSU03880
gabR,938271,BSU03890
gabT,938264,BSU03900
gabD,939976,BSU03910
glcU,938268,BSU03920
gdh,938261,BSU03930
ycnI,938266,BSU03940
ycnJ,938258,BSU03950
ycnK,938265,BSU03960
ycnL,939465,BSU03970
mtlA,938263,BSU03981
mtlF,8303136,BSU03982
mtlD,939968,BSU03990
ycsA,938262,BSU04000
sipU,939966,BSU04010
yczH,938255,BSU04020
ycsD,938260,BSU04030
yczO,8302943,BSU04039
ycsE,938252,BSU04040
ycsF,938259,BSU04050
ycsG,938257,BSU04060
ycsI,938647,BSU04070
kipI,938256,BSU04080
kipA,2914204,BSU04090
kipR,939999,BSU04100
lipC,938249,BSU04110
yczI,939989,BSU04120
yczJ,938254,BSU04130
pbpC,940139,BSU04140
ycsN,936168,BSU04150
mtlR,938253,BSU04160
ydaB,938246,BSU04170
ydaC,940142,BSU04180
ydaD,938251,BSU04190
ydaE,938182,BSU04200
ydaF,938250,BSU04210
ydaG,939958,BSU04220
ydaH,938243,BSU04230
ydzA,938248,BSU04240
lrpC,940147,BSU04250
topB,938247,BSU04260
ydaJ,938245,BSU04270
ydaK,938240,BSU04280
ydaL,938244,BSU04290
ydaM,939986,BSU04300
ydaN,940004,BSU04310
ydaO,938237,BSU04320
mutT,938242,BSU04330
ydaP,938239,BSU04340
ydzK,8302999,BSU04359
mntH,938241,BSU04360
ydaS,938230,BSU04370
ydaT,939950,BSU04380
ydbA,938238,BSU04390
gsiB,938235,BSU04400
ydbB,935969,BSU04410
ydbC,938234,BSU04420
ydbD,938232,BSU04430
dctB,938226,BSU04440
dctS,938231,BSU04450
dctR,940148,BSU04460
dctP,938223,BSU04470
ydbI,939948,BSU04480
ydbJ,938228,BSU04490
ydbK,939944,BSU04500
ydbL,938227,BSU04510
ydbM,939949,BSU04520
ydbN,938190,BSU04530
ydbO,938225,BSU04540
