Gene ID,C12T1,C12T7,C14T1,C14T9,C23T7,C23T8,C26T10A,C26T9A,C27T10A,C27T9A,C28T7,C28T8,C10T5B,C10T6,C15T11A,C15T9,C16T10,C16T12A,C21T16,C21T7C,C4T11A,C4T12A,C6T10,C6T9,Gene Symbol,Aliases,Entrez ID,Ensembl ID,GO Accession
939978,8.768661,8.785058,7.6051064,8.3479595,8.998977,8.496644,9.003,8.09576,8.54474,8.80683,8.371106,8.977367,7.7160134,7.9056334,8.923404,7.8783054,9.034556,8.366763,7.810545,8.689879,7.896646,8.183715,9.246219,9.057539,BSU00010,,939978,,GO:0003677|GO:0003688|GO:0005524|GO:0006270|GO:0006275
939970,8.114203,8.884592,6.7021627,8.109192,9.237754,9.009736,7.9422283,7.744325,7.7840657,8.518022,8.612168,9.015537,7.5265007,7.3996544,8.417333,7.946109,9.427468,8.423769,7.983661,8.596633,7.5552764,7.756618,9.176294,8.653462,BSU00020,,939970,,GO:0003887|GO:0006260|GO:0009360
939444,6.216467,6.173847,4.2981925,4.313719,5.641784,6.1568666,5.289952,5.149347,4.392631,5.26457,4.4757066,4.2199774,3.7239625,4.1925716,5.426074,5.175011,5.9866424,5.744517,4.4420886,5.237608,4.924686,4.818439,6.1198044,6.231272,BSU00030,,939444,,
939454,9.075381,8.904984,8.056256,7.6565595,8.2159605,8.75152,8.557961,8.315618,8.267179,8.6655655,7.386839,8.209897,7.9753423,8.348341,8.920367,8.381017,8.933013,8.995103,8.50358,8.510408,8.182693,8.119436,8.901607,8.911184,BSU00040,,939454,,GO:0005524|GO:0005694|GO:0051276
939466,6.2168565,5.564752,4.431032,4.0474796,5.535792,5.908785,5.8120594,5.1323953,5.5848227,5.469382,5.142814,5.1681457,4.942978,4.4011717,5.721855,5.058445,6.0755234,6.120989,4.6743684,5.659979,6.034359,5.559122,5.8950458,5.8868976,BSU00050,,939466,,
939456,10.322942,9.841496,9.82975,9.454852,10.28903,10.345725,10.087893,10.072103,9.903284,10.084913,10.061673,10.247672,9.986676,9.901559,10.330858,10.274257,10.585926,10.423856,10.077867,10.126912,10.125404,9.820979,10.2526455,10.218291,BSU00060,,939456,,GO:0003918|GO:0006265|GO:0009330
940002,10.4847,9.988723,10.38583,10.333323,10.627515,10.6578455,10.668685,10.255518,10.263884,10.633495,10.244116,10.758592,10.4780035,10.467132,10.765231,10.546206,10.834094,10.73639,10.278941,10.4889965,10.348577,10.084714,10.600528,10.612635,BSU00070,,940002,,GO:0003916|GO:0003918|GO:0006265|GO:0009330
939969,0,0,0.4604915,1.7287561,0.84527785,0,0.9260216,0,0.5501071,1.2293602,0,1.7374223,2.1390002,0,2.3337069,0,0,2.6489704,0,0,0.4502516,1.2492013,0,0.4267303,BSU00080,,939969,,
938032,10.300906,10.67085,9.7514515,10.007041,9.899037,10.846408,10.101883,9.963899,9.761752,9.9925375,10.201937,9.682903,9.297157,9.323935,10.215591,9.746643,9.834587,10.318853,10.291153,10.482857,9.839841,9.883956,11.111351,10.738041,BSU00090,,938032,,GO:0003938|GO:0009152
940000,10.136555,10.537711,8.023247,8.643987,9.31589,8.973059,9.653264,8.006733,7.9678416,9.345152,8.751167,9.332053,7.822116,8.084711,9.859249,9.359228,10.219504,9.959118,8.808902,9.343634,7.9715824,8.186741,10.886416,10.8114195,BSU00100,,940000,,GO:0008800|GO:0030655|GO:0046677
