mean,,,GO_ribosome,,,
,entreztosymbol(input.file.entrez),WT,0.02,0.005,PHTCONTROL,ispA
1,rplX,10.2252175,11.6335055,11.2497315,10.5335395,10.646277
2,rpsN,9.286114,10.7625835,10.3678105,9.654256,9.9811795
3,rpmJ,8.475873,10.48115,10.138097,8.350797,8.791458
4,rpmE,9.5919335,11.1211495,10.827315,10.0902335,10.2993015
5,rpmA,10.8238575,11.8090605,11.56021725,11.0933405,11.498195
6,rpmH,8.59429,9.941557,9.503943,9.2248085,10.123858
7,rpsN,1.99905565,1.08568635,0.99192924,2.2875544,1.4799074
8,rpsU,10.651467,11.453651,11.284398,10.624073,11.567287
9,rpmF,8.4771395,10.69344325,10.2497265,9.000372,9.83795
10,rpsF,9.9965745,12.268247,11.884571,10.440409,11.051378
11,rpmG,6.57258525,7.1502727,6.9195342,7.0889291,6.80858685
12,rpmB,9.297054,10.291485,9.9516625,9.6483385,9.51898725
stdev,,,,,,
,entreztosymbol(input.file.entrez),WT,0.02,0.005,PHTCONTROL,ispA
1,rplX,0.087771043,0.744469596,0.455096046,0.333538733,0.718001882
2,rpsN,0.199975455,0.747539854,0.543164781,0.453101297,0.845346864
3,rpmJ,0.222314372,0.256474701,0.323354274,0.073274647,0.861898112
4,rpmE,0.109264261,0.340564546,0.188972873,0.186054643,0.208822068
5,rpmA,0.055070183,0.091610633,0.080713764,0.057402221,0.527068909
6,rpmH,0.079419405,0.299968839,0.50018471,0.254113671,0.28865513
7,rpsN,1.060454192,1.535392361,0.985526343,1.19856749,2.092905116
8,rpsU,0.035708892,0.016482659,0.114622009,0.19552351,0.051239786
9,rpmF,0.072030846,0.097798171,0.36041869,0.722779096,0.439209478
10,rpsF,0.02028053,0.265667089,0.115275376,0.469346369,0.056028313
11,rpmG,0.456224235,0.062520543,0.696954425,0.371314357,0.207407359
12,rpmB,0.026909656,0.194444465,0.258551473,0.26449117,0.417170727
