"","entreztosymbol(input.file.entrez)","WT","0.02","0.005","PHTCONTROL","ispA"
"1","rplX",0.0877710434283423,0.744469596397663,0.455096045692006,0.333538733151789,0.71800188247107
"2","rpsN",0.199975454573805,0.747539854041575,0.543164781075229,0.453101297462278,0.845346864015299
"3","rpmJ",0.22231437200505,0.256474700604173,0.323354274182358,0.0732746473072361,0.861898112442533
"4","rpmE",0.10926426114929,0.340564546129658,0.188972873058543,0.186054643372586,0.208822067513229
"5","rpmA",0.0550701832255893,0.0916106332501856,0.0807137641987093,0.0574022213899419,0.527068909415078
"6","rpmH",0.0794194052357494,0.299968838714957,0.500184709594366,0.25411367106179,0.288655130215972
"7","rpsN",1.06045419157446,1.53539236065334,0.985526342754946,1.19856749015735,2.09290511613631
"8","rpsU",0.0357088924499203,0.0164826590694587,0.11462200923034,0.195523510279454,0.051239785791902
"9","rpmF",0.072030846479129,0.0977981711389583,0.360418690331813,0.722779095884766,0.439209477639087
"10","rpsF",0.0202805295912118,0.265667088759598,0.115275375896156,0.469346368653259,0.0560283129140972
"11","rpmG",0.456224234561389,0.0625205431148834,0.696954424864983,0.371314357301761,0.20740735897611
"12","rpmB",0.0269096556648347,0.194444465331364,0.258551473220518,0.264491170182484,0.417170727036455
